NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Also wir reden über verschiedene Systeme, weil da muss man genau spezifisch sein. Wir reden nicht darüber, dass derselbe Kunde in einer Tabelle dreimal steht, das ist ja ein Duplikat innerhalb der Tabelle, das kann natürlich ein Datenqualitäts-Tool dann abfackeln. Das andere ist natürlich deutlich komplexer. Was hier möglich ist, ich habe hier zwei Datenbereiche, die vielleicht gar nichts von einer wissen und die pflegen dieselben Daten. Idealerweise lege ich ja einen logischen Layer, also ein logisches Datenmodell im Sinne von Enterprise Data Model, lege ich über die verschiedenen Bereiche und dann kann ich natürlich meine Daten, meine Tabellen darauf mappen. Und wenn ich natürlich dann irgendwo einen logischen Layer habe, wo ich eben Kundendaten speichere, als Beispiel, und dann habe ich in zwei verschiedenen Bereichen festgestellt, dass hier die dort Verantwortlichen wiederum ihre Daten auf dasselbe logische oder konzeptuelle Objekt mappen, dann habe ich, dann kann ich das erkennen. 

Ich weiß auch nicht, ob es da irgendwie spezialisierte Tools gibt, die das schon automatisieren oder nicht. Aber das ist sag ich mal so eine Möglichkeit, die ich dann habe. Ich kann natürlich dann auch ich meine so ein Business Glossary ist ja auch eine Art konzeptueller Layer. Auch da wiederum, wenn verschiedene Datenbanken ihre Felder mit denselben Einträgen im Business Glossary verlinken, dann kann ich ja sowas auch abfragen. Das kann ich ja dann feststellen. Einfacher ist es natürlich, sobald ich in einem Data Lake bin. Dann habe ich halt eine Datenbasis vor mir und dann kann ich da so Tools drüberlaufen lassen, die sowas eher mal erkennen. Wenn ich jetzt, sag ich mal, sehr weit entfernt im Unternehmen ähnliche Daten habe, muss man einfach sagen, es ist schwierig. Wenn da nicht sehr extrem konzeptuell Daten modelliert werden, was die wenigsten tun, also theoretisch geht das alle, ist kein Thema. (S.14)",Funktionalität EDM und EDC,EDM erkennt Doppelungen in den Daten,,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Täglich irgendwo Datenbreaches. Und wenn ich dann eben auch ganz schnell bin, weil ich die Prozesse automatisiert habe, sowas wieder einzufangen, dann kann ich, also erstens kann ich die Eingriffswahrscheinlichkeit von Daten, von Privacy Security Problemen reduzieren. Und zweitens kann ich auch den Impact reduzieren, wenn es passiert.",Use Case,Schnellere reaktion auf Daten Breaches,,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Und was dann noch dazu kommt, dann hast du noch so einen Second-Order-Effekt drinnen. Wenn die Data Scientists eben mit weniger Aufwand und schneller sind, Dinge rauszuhauen, dann können die auch mehr machen. Du bist früher am Markt damit und du kannst auch viel mehr tun",Use Case,Schnellere Reaktion auf den Markt durch Schaffung von mehr Kapazitäten,,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"Like, one of the use cases I was recently looking at was something simple like, finding what something means, right? So a lot of customers have what something means in a spreadsheet. So this could mean customer, right? If I go and ask you, how many customers do we have? And if you go and ask somebody else, how many customers do you have? And if you say it's a hundred and if that person says it's 300, right, we have a fundamental difference between the number of customers. Number of customers should be something that, you know, should be the same, right? It's because both of you are right or wrong because the simply that the definition you're using to measure what a customer is might be different, right? And that is because of the way that your business is functioning, your business line of business is functioning. So in order to minimize this kind of problems, you can have a simple thing of definitions, right? It's a simple use case where you have a glossary, right? You have a glossary where you say, this is what we mean by customer. This is what we mean by address. This is what we mean by whatever, right? (S.7)",Use Case,Use Case: Business Glossary,,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"And once you have those [Definitions], then you can start linking them to your data when you have it. So imagine that as a simple example, imagine customer name, right? This is a definition, but in the database, you might have cost F name, cost L name or whatever it is, right? So it's two fields that is representing customer name. So you can simply link those, at least in Collibra you can, where you can link them and say, okay, so these two fields are linked to customer name. (S.7)",Funktionalität Collibra,"Funktionalität Collibra: Technisches ""Definieren"" von festgelegten Begriffen (Kunde stellt sich aus folgenden Feldern zusammen)",,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"And another one that is also very, very quick, quick is a lot of customers will have code values and code sets, right? Especially banking customers, financial, sorry, people like say, healthcare customers, they will have code values and code sets. Now, what that means is that those code values and codes have to be governed in some way, right? So imagine that simple thing like UK versus GB, right? Great Britain. They're different ducks, right? In terms of entities, they're different things. And then all of this time, for whatever reason you needed, you were using GB, but now you have to change it to UK. Who makes that decision? Somebody makes that decision. And then you need to know where this UK is being used in which tables. Now you already ingested the tables.  You can start to build those linkages to say, okay, this table has these columns that talks about country codes and country codes are linked to this code set, right? And whatever those values, if there's a change in Collibra, we at least have, if there's a change, you can notify the, the product, technical stewards or whoever to say, hey, there's a new change that happened in this code set. Make sure that your source systems are updated or whatever. (S. 9)",Funktionalität Collibra,"Funktionalität Collibra: Durch die Verlinkung und die technische ""Definition"" von festgelegten Begriffen (Country Codes) können die dafür verantwortlichen Stewards bei Änderungen benachrichtigt werden und aufgefordert werden,  diese Data Sets (Alle Country Codes) zu updaten. (Workflow)",,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"[Durch Verlinkung der Bestandteile mit dem Überbegriff] I'll give you another example, a very simple example that I was working with a bank and they had about, I think, 10,000 or 11,000, like a lot of code sets. Now they were getting this from Experian, they were getting it from different credit organizations and other things, right? But what they found after they brought that into Collibra was that some of those were almost the same, but they were paid separately. They were paying separately to Experian or whatever it is, right? And some of them are very similar with very small differences, right? So what they did was that they managed to bring down the number of code values and code sets from 11,000 to, I think, to about 7,000 or 8,000. So that's a huge, that's a huge saving because they're not paying anymore for whatever that was. (S.9)",Use Case,Kostenersparnis durch weniger Cloud-Speicher-Ausgaben,,,,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"So wie ich jetzt das Modeling verstehe, ist das eher ein Top-Down-Ansatz, wo man die Zusammenhänge der Daten darstellen möchte und so auch in einen Kontext setzen möchte (S.3)",Funktionalität EDM,Darstellung der Zusammenhänge und des Kontexts der Daten,,,,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Und beim Cataloging ist es eher so, dass man es grundsätzlich mal auflistet und bottom-up zur Verfügung stellt und dann der User eigentlich rauspickt, was er braucht. (S. 4)",Funktionalität EDC,Bereitstellung der Daten,,,,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Ich glaube, das ist ein Use Case, wo man die Potenziale sieht, die aus Daten kommen, die eben darüber hinausgehen, was Menschen selbst 80-20 optimieren können. Bei uns jetzt bei XY ist auch wieder eine Robotik im Einsatz und die Robotik muss verstehen können, welche Artikel kann ich überhaupt und wenn ja, wie greifen. Und jetzt ist es ja so, dass wir auf die 300.000 Artikel, die wir im Lager haben, jedes Jahr etwa 70.000 neue haben. Es ist unmöglich, diese Datenmenge zu pflegen, also muss ich da mit künstlicher Intelligenz, mit Lernalgorithmen drangehen. Da komme ich vielleicht sogar in einen Bereich, wo ich die Daten dahinter gar nicht verstehe, also wo einfach die KI das auflöst und ich müsste via Reverse Engineering dann wieder herausfinden, was sind jetzt die Attribute, die zu dem Resultat geführt haben. Aber das ist auch etwas, kein Mensch könnte das tun, aber mit Daten kann ich das relativ einfach machen. (S.7)","Use Case
",AI ermöglicht Optimierung der letzten 20%,,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Ähm, wir haben bei uns, also das Thema Enterprise Data Model ist aus der Architektur getrieben. Wir sind da, haben einen Schulterschluss auch mit dem Unternehmen XY gemacht. Ähm, der Haupttreiber ursprünglich, jetzt bei uns, war wirklich die Kommunikation zwischen den Systemen, so quasi Mittelware Layer mässig, halt API first zu, so sieht der Point-to-Point-Integrationen zu verhindern und halt wie so einen abstrakten Kommunikationslayer im Sinne Mittelware Layer zu etablieren. Ähm, und da halt wirklich mit dem Data Model, also wir haben es immer versucht so intern zu erklären, oder bei Point-to-Point hast du quasi, ja der spricht Deutsch, der Französisch, das heisst du musst Deutsch nach Französisch übersetzen, dann Französisch nach Italienisch. Und mit dem Enterprise Data Model etablieren wir Englisch als zentrale Sprache, damit die Systeme austauschen können untereinander. (S. 2)",Funktionalität EDM,EDM Systemintegration,,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Unternehmen XY hat als Data Platform GCP im Einsatz, und die haben wirklich in Collibra angefangen, alle Objekte, also die Metadaten aus dieser GCP-Umgebung primär, quasi automatisch anzubinden, und dann halt mit diesen Data Rollen, diese Data Governance Rollen, also Data Owner, also wer definiert die Daten, wer ist verantwortlich dafür, wer ist der technische Owner, halt diese ganzen Rollen etabliert, und haben danach das auch noch ein bisschen ausgeweitet, und zum Beispiel eingekaufte Daten darin beschrieben, da war der Case vor allem, dass wir jetzt in der Gruppe für Daten nicht doppelt bezahlen, sondern die meisten eingekauften Daten quasi einmal gekauft, einmal beschrieben, einmal einen Owner spezifiziert, und dann zentral zur Verfügung gestellt, oder? (S.3)

Und jetzt konkret bei EDM (Es wird zwar EDM gesagt aber wir glauben es wird EDC gemeint) haben wir natürlich diese Data-Domains bei uns erarbeitet und auch für jede Data-Domain auch einen Owner. Und da haben wir jetzt Prozesse etabliert mit diesem Domain-Owner, weil bei uns gab es ein GL-Entscheid, dass die Datenqualität gehört zu diesem Lead-Data-Owner. D.h. die sind verantwortlich für die Datenqualität in ihrer Domain. Da gibt es eine Domain Artikelstammdaten und es gibt eine Domain Filialstammdaten z.B. Und da quasi wir sehen jetzt, wenn irgendwo ein Prozess blockiert ist, weil ich sage jetzt bei einem Artikel stimmt der Preis nicht und so da gibt es also da sehen wir die Anzahl Tickets, die kommen und die sind theoretisch jetzt quantifizierbar.(S.8)","Use Case

","Use Case: Dokumentation bestehender Assets
",,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Also wenn ich jetzt hier unseren Reifegrad, den Komplettheitsgrad beschreiben müsste, dann sind wir bei uns vielleicht bei 30%. Und beim Unternehmen XY im Sinne von Data-Katalog wahrscheinlich schon so im Bereich 70-80%. Es gibt auch so Domain-Scorecards, wo eigentlich pro Data-Domain so Scorecards existieren, wo mit den Lead Data Owners ein Interview-Prozess gemacht wird, um herauszufinden, was ist der Score dieses Data Assets hinsichtlich Quality-Control, Ownership und gewissen Dimensionen, die abgefragt werden. (S.3)",Funktionalität EDM und EDC,Funktionalität EDM/EDC: Data Domain-Scorecards zeigen den Reifegrad der Datenqualität,,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"EDM: Beim EDM, glaube ich, wird der Value erst über Zeit spürbar, wenn man dann Änderungen in der Systemarchitektur hat oder wenn man dann quasi ein System austauscht und man nicht mehr die zehn Umsysteme wegen Spaghetti- oder Point-to-Point-Integrationen anfassen muss, sondern sich einfach nur um diese eine Schnittstelle, sei es ein Consumer oder Producer, kümmern muss. Und diesen Wert, den wirst du erst über Application Lifecycle Zeit von drei bis fünf Jahren spüren, der ist jetzt heute unmittelbar noch nicht so spürbar. Den müssen wir auch immer wieder verkaufen im Sinne von Flexibilität und Agilität der Systemarchitektur. Vielleicht Schemadifferenzen. Umsatz ist ziemlich relevant bei einem Retailer. Da haben wir viele Abhängigkeiten. Das hätte zu Problemen geführt, dass wir diese Schema-Änderungen in x Umsystemen hätten nachziehen müssen. Je nachdem, wie oft oder wie schnell. Dann hätten sie das merchen müssen (S.4)",Funktionalität EDM,Abschaffung von Point-to-Point Systemwechseln,,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"EDC: Bei Katalog ... Da hat das Unternehmen XY einen Push gemacht, möglichst viele Data-Assets zu identifizieren, den entsprechenden Owner zu identifizieren, das zu beschreiben. Da hinsichtlich Mehrwert. Man hat herausgefunden, dass ein und dieselben Marktforschungsdaten von zwei Derpartments eingekauft wurden. So haben wir hier schon. ""Du zahlst auch? Wir zahlen auch."" (S.5)",Use Case,Schaffung von Transparenz und Überblick (keine Duplikate),,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Low-Hanging-Fruits wie doppelter Daten-Einkauf entdeckt man nur, wenn man einmal die Daten-Assets katalogisiert hat - man braucht aber nicht unbedingt Collibra (S.5)",Use Case,Schaffung von Transparenz und Überblick (keine Duplikate),,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"EDC: Aber ich vergleiche es immer so, also mein Katalog ist beim Namen schon inhärent mit drin, das ist wie so, du gehst in die Bibliothek und dann siehst du quasi das Inhaltsverzeichnis, was ist in dieser Bibliothek mit drin. Es ist mehr ein Beschrieb deiner Assets und der Verantwortlichkeiten darüber (S.7)",Funktionalität EDC,Schaffung eines Inhaltsverzeichnisses / Überblick,,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"EDM: Das Data-Model ist für mich dann eher als ob du vorschreiben würdest, wie diese Bücher gebunden sein müssen, damit du möglichst viele Bücher in die Bibliothek reinbringst. Das Data-Model ist mehr so diese Data-Producer, also wie bringe ich Data-Producer und Consumer optimal zusammen (S.7)",Funktionalität EDM,Standardisierung und Strukturierung von Datenmodellen,,,,,,,,
13,Experte,Starburst,EDM / EDC Anbieter,"Collibra really creates a platform to scale governance from inventory and what you have from a tech perspective, where your data is stored, and really assigning business context to it, meaning like what it actually is, and putting mechanisms around it in order to focus more on the things that are important and less on the things that are not important, and making sure that the important data, especially the important data, really falls through on things that are both required for businesses based on their industry, and also what's good practice in terms of where they will see benefits from it (S.2)",Funktionalität Collibra,Skalierbare Data Governance durch Zuweisung von Business-Kontext und Priorisierung wichtiger Daten,,,,,,,,
13,Experte,Starburst,EDM / EDC Anbieter,"That's right. That's the core proposition of data federation, is the term, is getting access to the data regardless of where it is stored, and there are multiple design patterns in order to achieve that. But yes, you buy a business, you sell a business, you still have to get across it, and most large organizations have fragmented teams, technologies, and also data silos. (S.2)",Use Case,Data Federation (Zugriffsrechte),,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"And for that, from what we see in the market, at least in terms of banks, they're fairly mature in terms of having a data catalog or something similar in place. And also something that might be of interest to you is that there's three different things in that regard. So, there's the business glossary that contains all of your business terms on a business context level. So, let's say a customer is a business term. A customer is a client of the bank or it could be a client. Then there's the data, let's say a client is a business term contained within the business glossary. So, you have that one list of business terms. For example, a client is a person who transacts with the bank.

And then you have a data catalog, which represents a data element, which is a collection of data attributes. So, for example, the data catalog version of a client will be a customer. A customer is a specific person who takes out a loan or invests with the bank or has a checking account with the bank. And then that data catalog contains all of the data attributes underlying that particular element, which you can find in the data dictionary.

So, there's three things. There's a data dictionary, the data catalog, and the business term. And they're all linked. The data catalog is sort of in the middle, helps you go from the highest level of a business term to seeing which sort of definition or package contains further details and more granularity. And the most granularity is contained within the data dictionary. So, let's say a client in the business term represents a data element in the data catalog, which could be a customer with its own definition and its own metadata. And then that customer is basically a representative package of a bunch of different things that a customer is made up of. So, a customer can be made up of first name, last name, address, email ID. All of these things will be data attributes in the data dictionary linked to a single data element in the data catalog. (S.4-5)",Use Case,"Use Case: Business Glossary
Funktionalität EDM/EDC:
Business Glossary -> Geschäftsbegriffe (Enterprise-Ebene)
Data Catalog -> Konkrete Datenobjekte (Sammlung von Attributen des Geschäftsbegriffes)
Data Dictionary -> Technischen Metadaten (Tiefste Stufe)",,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"So, we see everything ranging from Excels to Collibra to Ab-Initio to another platform could be Microsoft Perview or anything. (S.5)",Use Case,,,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"I have implemented a similar iteration of Collibra at a client for a bank, for a large bank, I would say. And basically, what we did there was, as I said, so they're redeveloping a model. And what they needed to do, they needed to identify what data is required for that model. So, they had a bunch of data requirements. So, they wanted to unify those requirements across the different portfolios that the bank had. Portfolios like they have an agricultural portfolio, they have a private portfolio, private client's portfolio, real estate portfolio. But the underlying data, it is possible to unify across the same, across different portfolios because the definition will more or less be the same in a lot of the cases. So, they not only wanted to identify the requirements, they also wanted to unify. So, we developed an architecture to show how the data flows right from the physical place where it's stored, so like the data warehouse, going from the three layers or the medallion architecture, which is bronze, silver, and gold, where the data is transformed, up to where it's being finalized to be able to deliver to the modeling teams. So, that entire lineage we built out in Collibra using repositories, using different assets like business terms, data attributes, data elements, and assigned ownership to each of those repositories and set up a process, invite that process into business as usual with our colleagues at the bank. And I'm happy to report that even as of a week ago when I checked in with the client, they were still happily using it. (S. 6)",Use Case,Use Case: Data Lineage,,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"So keeping that aside for a second, what data catalogs do really well is that they provide you a platform centrally for the entire company to view. So for example, if it's just one Excel on a SharePoint, then yeah, there's access issues, there's auditability issues, anyone can go and change anything there, and then everyone has their own versions of it saved online. But if you have a data catalog centrally stored on a group-wide level for everyone to view, that is a place where you can make agreements and then hold people accountable. So if you set up policies or procedures in a certain way that we have a data catalog, the way we define the data elements in there is that, let's say there's a data definition committee, and we propose definitions to it, it approves, and then there's a governance committee, we propose ownership to it, bring the two people who are involved in deciding that ownership, and decide on a certain ownership. And then after getting approval from all of these committees, then we put information into the data catalog, and so that's your data definition, that's your data ownership, 

and also similarly, your data quality principles that need to be applied under the DQ checks and the thresholds. So you need to have a data catalog in place, you need to have certain standard procedures and committees in place to approve the information being populated in the data catalog. Once you have these two components up and running, then you can say with certainty that, okay, we made agreements with everyone involved, we have stored it in a central location accessible for everyone. So at a later point, if we refer back to it, then we are sure that we made these agreements together. So if something's changing, it's not because of any misunderstandings or any miscommunications, it's because of a change in situation or a change in the mind of a certain person. But certain agreements were made. And that is where they play a really strong role. And I think that to a certain extent, or to a huge extent, tackles DQ issues, ownership issues, definition issues, because if everyone is on the same page about how to define a certain element, then that leads to less incongruity in terms of the usage of that as well. (S.8)",Funktionalität EDC,"Platform für Kollaboration, wobei Regeln, Verantwortungen, Defiitionen festgehalten werden, sodass die Datenqualität verbessert wird",,,,,,,,
15,Data Manager,IT Services,Externe Firma,"They need a common vocabulary where the enterprise data model comes in a picture and you need to have some standard. Otherwise, every system will say, I follow this standard, I follow that standard. Then they are managed by different vendors. (S.8)",Funktionalität EDM,Standardisierung,,,,,,,,
15,Data Manager,IT Services,Externe Firma,"No, my Purview was very, very baby stages. It's still very baby. I would say a lot of companies, it doesn't have lots of nuts and bolts, and it's just a very basic, I would say. We didn't look at it in the Google stack, but Google stack in the data catalog is probably far more mature than Microsoft Office today, even today, right (S.10)",Funktionalität EDC,,,,,,,,,
15,Data Manager,IT Services,Externe Firma,"See, Collibra basically is more of a catalog system. You can define business terms and everything, right? It can support plugging in, like similar to Informatica or any other system, it can support plugging in any of the enterprise data model which you have designed yourself from other systems. They are not modeling tools, right? Erwi is a modeling tool, right? You design the data model into Erwi. Most of the enterprises use Erwi. E-R-W-I, look it up, right? When you want to design a data model. I use another very cheaper version of the tool, it's called enterprise parts. It doesn't cost much. [ERWI] it's a hard tool to use (S.10)",Funktionalität EDC,Business Glossary,,,,,,,,
15,Data Manager,IT Services,Externe Firma,"For example, you design the enterprise data model, then you have something called PolyPro, some other tool, Informatica, whatever you want to use to pull an enterprise catalog together, because it could be self-serve, right? What do you want to do? You want to have basically self-serve. Means that you want to pull the data from all the different systems together, put it in some kind of enterprise data lake, right? And then from there, you basically put it together in the enterprise data catalog. And then you give the business a functionality, because a lot of the catalogs or a kind of model you created yourself (S.13)",Funktionalität EDC,Erstellung eines Enterprise Data Catalogs zur Selbstbedienung und Integration verteilter Datenquellen,,,,,,,,
15,Data Manager,IT Services,Externe Firma,"I often see enterprise data catalog using a system like Collibra or anything is often useful when enterprise is actually, you can consider so many different systems that doesn't speak the same language. Means, it comes from different vendors and everything. You need something to stitch together. (S. 16)",Funktionalität Collibra,,,,,,,,,
16,Data Lead,Private Equity,Externe Firma,"And also maybe it's different for other companies, but for us, a lot of data comes from different actors in the industry and they all have a different format. So it can be a presentation, it can be a PDF, then it's an Excel sheet that they share with us. And then you get all those data on a specific asset manager, let's say, and there is no way to kind of ask, let's say, a chatbot or whatever that could answer you, okay, this is the asset manager, that's where they are located, and this is also what they sent you as a proposal Because all those different informations are stored in different places at the moment or stored in a PowerPoint, but then you also have the problem that in the same slide maybe you have their assets under management, but then you also have competitors' assets under management, so you have to make sure that whenever you extract data, you're not putting one of their competitors to the asset manager that you're looking at and all those problems. And all those things are done manually at the moment and are very time-consuming, but once you have this data architecture in place and you have this data model and it works well and it's clean, and of course it needs someone full-time to kind of manage it and make sure it stays clean, but once you have that, I think what their vision is, like the management board vision, is that it can really, really increase the efficiency first, but also the quality of what you're doing and how extensive the insights you can have on each asset manager as well. (S.8)",Use Case,Zentrale Datenstruktur spart Zeit und Abstimmung,,,,,,,,
16,Data Lead,Private Equity,Externe Firma,"I think slide is the best example for me because it's quite hard to retrieve data from slides unless you go on the PowerPoint, you read it and then you write it down somewhere else. And with all those kind of like AI tools and optical recognition, character recognition and all those different techniques that you can use, I think you can really, really improve the insights you can develop for your investment team or also the knowledge you have about the people you're working with, the different stakeholders and everything. And then I would say you can make way more informed decisions on that. (S.15)",Use Case,Automatisierte Analyse verbessert Entscheidungsqualität,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"[Weg von traditionellen IT-Lösungen, nicht alle bestehenden Daten in neues Tool umschichten, zuerst Fragen, welche Daten sind wichtig] Und eigentlich musst du es andersrum machen. Du musst sagen, pass mal auf, ich habe hier eine bestimmte Anzahl von Problemen, die ich lösen muss. Zum Beispiel jetzt im Mining-Bereich, ich möchte hier meine Predictive Maintenance stark verbessern oder ich möchte so eine Durchlauf-Optimierung machen, um zu sagen, wann ist welcher Truck wo? Wann liefert welche Maschine was? Wo muss irgendein Zug halten? In welcher Zeit und wie kommt das alles zusammen? Das sind so ziemlich interessante, große Probleme. Aber dann würdest du erst mal sagen, wie löse ich das Problem und welche Daten brauche ich dafür? Und jetzt gehst du hin und sagst selektiv, ich baue jetzt ein flexibles Datenmodell, das zukunftsfähig ist und offen ist. Das eben nicht mit irgendeinem System verheiratet ist, wie das früher war. Wo du zum Beispiel alles auf SAP hattest oder auf Oracle. Und du musst sozusagen deine Seele an SAP oder Oracle verkaufen. Sagst du heute, du bildest ein flexibles Datenmodell, das skalierbar ist, sowohl in Bezug auf die Größe als auch auf die Struktur. Das kannst du heute ohne Problem machen. (S.5-6)

Dann sagst du jetzt von diesen 50.000 Sensoren brauche ich jetzt aber nur 500. Dann gehst du hin und sagst, ich fokussiere mich jetzt voll und ganz auf die Integration dieser 500 Data Features, von diesen 500 Sensoren. Baue dir mein Modell ein. Und jetzt hast du dann halt natürlich ein Data Catalog Problem. Weil du willst ja sagen, ich
möchte diese Daten auffindbar machen. Ich möchte diese Daten auch dokumentieren und möchte sie für eine globale Organisation nutzbar machen. Dann hast du wiederum zwei Probleme, die ganz wichtig sind. Das eine ist, wer ist eigentlich der Data Owner? Wer ist eigentlich zuständig für diese Daten? Und das sollte nie IT sein, sondern es sollten immer die Fachleute sein, zum Beispiel die Operators, die sagen, wir sind die Verantwortlichen dafür, dass diese Sensoren sauber sind und dass die Definitionen der Variablen korrekt sind. Und wir machen dann ein Single Source of Truth Prinzip. Das heißt, diese Daten werden nur einmal so in eine Variable verarbeitet und die wird dann im Data Catalog sozusagen als unique abgespeichert. Dann können andere Leute zwar auch Varianten davon kreieren, die müssen aber genau dokumentiert werden. Und das ist heute eher der Fall als früher. Früher war es so, jeder hat sein eigenes Ding gemacht und es ist dann plötzlich ganz viele Versionen desselben Dings mit leicht unterschiedlichen Definitionen.","Use Case
",Use Case: Predictive Maintenance,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Das hat aber zu massiven Problemen geführt, weil dann geht ein ganzer Report und eine ganze Konsolidierung im Bach runter. Und dann war es bei den Banken immer so, jedes Mal wenn die was an Regulator reporten mussten, zum Beispiel als die UBS mit der Credit Suisse fusioniert hat, da brauchten die halt dann irgendwie 600, 700 Leute, um die ganzen Reports, die alle nicht zusammengepasst haben, selbst innerhalb der UBS oder innerhalb der Credit Suisse, wegen dieser ganzen verschiedenen Regionen, um das alles regulatorfähig zu machen. Das musste alles dann händisch nachgearbeitet werden. Und das ist aber jetzt nur ein Beispiel, das ist bei anderen genauso. Und das vermeidest du mit diesem Single Source of Truth Prinzip. 

Und dafür ist ein Data Catalog sehr wichtig, weil er im Prinzip sagt, hier ist das Offizielle, die offizielle Version und dann kannst du die Governance so gestalten, dass du sagst, entweder darf niemand eine zweite Variante davon schaffen oder jemand darf nur eine private zweite. Variante davon schaffen oder dritte Variante. Oder wenn eine öffentliche Variante geschaffen wird, muss es so klar dokumentiert werden, was ist was. Das ist eine sehr scharfe Anforderung an die Dokumentation, um genau diese Versionsprobleme zu vermeiden, die so unglaublich teuer sind. (S.6-7)",Funktionalität EDC,EDC als zentrale Datenquelle (Single Source of Truth),,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"[Berechnung von Kreditkarten Utilization - Marketing vs Risk Dep] So, der Data-Katalog sagt jetzt, pass mal auf, wir haben als Data-Katalog einen Auswuchs von Data Governance. Du sagst, wir haben jetzt bestimmte Regeln, wie Dinge definiert und benutzt werden. Was zum Beispiel wo verwendet werden darf. Und das ist sehr aufwendig. Das heißt, da kommt Compliance mit rein und da kommen Prozesse mit rein. Also zum Beispiel Genehmigungsverfahren, Trails und sowas. Wer was wann wie machen darf. Das Ding wird also plötzlich sehr, sehr, sehr groß. Und der Data-Katalog ist letztendlich das zentrale Element.  (S.7-8)",Use Case,Use Case: Business Rules,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Wir sagen jetzt nicht, wir machen jetzt eine riesige IT-Implementierung, weil irgendwo ein paar Benefits sind. Im Handel wäre es Pricing, also Preisdifferenzierung. Wenn es um einen ganz wesentlichen Use Case geht, dann Waste-Reduktion, dann hast du auch Assortment, so Assortment-Fälle, wo du sagst, okay, besseres Assortment generiert höhere Umsätze, wenn du die Sachen irgendwie sortierst und aufstellst nebeneinander. Und dann hast du vielleicht noch ein paar andere, aber wenn es keiner von diesen Use Cases, ganz großen Use Cases ist und es gibt andere Gründe, warum das sehr schwer umzusetzen ist, warum auch immer, dann kann es tatsächlich sein, dass du besser damit fährst zu sagen, wir machen das Ganze relativ altmodisch. Wir haben ein gutes POS-System. Das POS-System liefert irgendwelche Reports in mein SAP-System in der Zentrale (S.15)",Use Case,"Bessere Preisdifferenzierung, Waste-Reduction",,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Also man sieht die Zahlen sozusagen zu harmonisieren und ich habe Probleme gehabt. Aber was ich jetzt mache, ich fange jetzt einfach mal an im Data Catalog, ich mache jetzt Dinge so, ich fange an, das alles zu registrieren, wo was ist, das ist so ein Dokumentationstool, ohne jetzt unbedingt meine Systeme alle zu ändern, aber ich fange so langsam mal an, hier und da Sachen zu vereinheitlichen und durch Queries zusammenzufahren, dass ich so, ich baue jetzt mal so ein paar Queries, die aus meinen Crazy Daten diese Konsolidierung automatisieren im Laufe der Zeit. Da habe ich jetzt zwei, drei Developers, die das machen. Aber ob ich das jetzt dieses Jahr oder nächstes Jahr oder in fünf Jahren fertig stelle, ist mir jetzt relativ egal, solange ich das mit 30.000, 40.000 Dollar pro Jahr killen kann, ja. Fange ich damit mal an, weil es No Regret ist. Ich bleibe also immer in dieser grünen Zone, wo es absolut No Regret ist, wo ich gar nicht da rein geraten kann, dass ich jetzt so ein großes, abfäulendes Investment mache, ohne was ich jemals zurück bin. Solche Leute sind auch oft sehr erfolgreich damit, weil die sagen, nach fünf Jahren haben sie dann irgendwie doch ihre gesamte Reporting irgendwie jetzt im Griff, ja. (S.16-17)",Use Case,Implementierung,,,,,,,,
